امراه تستحق الاحترام,N,,,,,,,,,,,,,,,,,N
كلامها صح✌🏻️✌🏻✌🏻,N,,,,,,,,,,,,,,,,,N
ليش تتكلم مصري وهيا سورية ؟!,N,,,,,,,,,,,,,,,,,N
قال الكويت جزء من العراق ههههههههه حتموت من الحسد والحقد أما العلقه اللي اكلتها من المصريين 😂😂😂👍,N,,,,,,,,,,,,,,,,,N
والنعم منك يسوريه اصيله ،، اخت رجال والله,N,,,,,,,,,,,,,,,,,N
كل الي تكلمت بي عن العراق صحيح صرنا بأفضل حال بعد الطاغيه صدام الحمدلله تحسن الحال,N,,,,,,,,,,,,,,,,,N
وا أسفاه على سوريا و أطفالها .. وا أسفاه على لبنان و ليبيا.. وا أسفاه على العراق.. و أسفاه على فلسطين الغالية... حسبي الله و نعم الوكيل في الظالمين .. حسبي الله و نعم الوكيل في كل من كان السبب في إراقة دم الأبرياء.. كل مواقفها التي تحدث عنها لا تهمني و لكن أن تتطاول على عائشة رضي الله عنها و تسب أم المؤمنين علنا فهذا تصرف دنيء و حقير منها,N,,,,,,,,,,,,,,,,,N
خليك في الفن ياماما مالك ومال السياسة غبية,P,,,,,,,,,,,,,,,,,P
والله كلامها صح بصح,N,,,,,,,,,,,,,,,,,N
"كفووووووووو يا مصر لعنتو شكلها لما شتمت عائشة رضي الله عنها 
ياليتكم موتوها عشان نفتك منهااا",P,,,,,,,,,,,,,,,,,P
اصلا مين رغدة؟؟ شفت الفيديو و مش عارف عليها ولا شي,N,,,,,,,,,,,,,,,,,N
انا احترم بعض اراءها و مواقفها..هذه حرية شخصية..ديمقراطية..و هي ادرى بشعاب سوريا..لا يحق لاي شخص التدخل بين الشعب السوري و اشعال النار و التفرقة بينهم...، لكن كرهتها لما شتمت امهات المؤمنين,N,,,,,,,,,,,,,,,,,N
الله يحميك سوريا الاسد يا رب العالمين,N,,,,,,,,,,,,,,,,,N
كلامهة عدل ١٠٠٪‏,N,,,,,,,,,,,,,,,,,N
"عنجد الشعب المصري غبي... هي ما سبت ستنا عائشة... هي قصدت يلي بتعمل نفسها ستنا عائشة بهاد الزمن هي دي عيشة ... ركزو يت بقرررر.. 
شخصية رهيبة وقوية ...",P,,,,,,,,,,,,,,,,,P
بس مدارسنا بيها حدائق غناء😂😂😂😂,N,,,,,,,,,,,,,,,,,N
كلامهة  ّ صّـْْ(☑)ـْْحّ,N,,,,,,,,,,,,,,,,,N
ذيابه اللي بغو يضربوها,N,,,,,,,,,,,,,,,,,N
"جنت ما احبهه قبل 
بس هسه لا طلعت كلش زينه الله يحفظهه",N,,,,,,,,,,,,,,,,,N
هههههههه صاير عده. قندره بحلكج.,P,,,,,,,,,,,,,,,,,P
"هههههه ضربوهااا تستاهل حلال فيها 

سواء سنيه شيعيه.  الله  ينتقم منها
ماتقرا سورة النور يعني",P,,,,,,,,,,,,,,,,,P
هههههههههه قدعان يارجال مصر اكلوها علقه محترمه,N,,,,,,,,,,,,,,,,,N
انتي تاج على رأس حكام الخليج الخونة,P,,,,,,,,,,,,,,,,,P
هذي تنطبق عليها مقولة خالف تعرف 😊,N,,,,,,,,,,,,,,,,,N
عندها الحق هي الحروب كلها في صالح الغرب,N,,,,,,,,,,,,,,,,,N
اكن لك كل الاحترام ياسيدتي المثقفه,N,,,,,,,,,,,,,,,,,N
اموت علی رغده ربنا يحميك وينصرك  لانك ضاغطتهم انت اجرء واشجع امرأه في العالم,N,,,,,,,,,,,,,,,,,N
الله يثبتنا ويهديها,N,,,,,,,,,,,,,,,,,N
فديو اليوم اختصار قوي مو فاهم شي اختلاف مش نفس الفديوهات الي قبل,N,,,,,,,,,,,,,,,,,N
"سؤال للبنات لو يتقدم لك💍3 رجال؟👤
ال1: اخترته أمج
ال2 : تعشقون بعض: بس فقير !
ال3: لايحبك ولاتحبينه بس مليونير

أيهما تقبلين زوجاً لك ولماذا؟",N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
ساتي اليوم الذي تندمون لانكم استهزئتم بهذه سيده العضيمه الشريفه المنادله والله انها علا حق,N,,,,,,,,,,,,,,,,,N
ههههههه خوش تحجي 😘 مگالت شي غلط,N,,,,,,,,,,,,,,,,,N
بحبا ♡♡♡,N,,,,,,,,,,,,,,,,,N
مريضة,P,,,,,,,,,,,,,,,,,P
الكويت جزء لايتجزاء من العراق ولكن حسبنا الله و نعمه الوكيل,N,,,,,,,,,,,,,,,,,N
الله محييكي شريفة و وطنية الأغبياء يلي عم يقولو سبت عائشة بس لانو الفيديو هيك عنوانو لا تاخدو الحكي مجتزء وافهمو شو عم تحكي,N,,,,,,,,,,,,,,,,,N
انسانة واعية وراقية وصاحبة موقف انساني ووطني عكس القذرة اصالة الهاربة الى امريكا وتقوم بعمل دعاية للارهابين الذين دمروا سوريا وحضارتها وشعبها .. تحية لكي يا سيدتي الجيملة شكلا ومضمونا,P,,,,,,,,,,,,,,,,,P
"خليها تتزحلق هههههههههههه
4:49",N,,,,,,,,,,,,,,,,,N
حسبي الله فيكي وكفى 💔,N,,,,,,,,,,,,,,,,,N
رقم 1 الحديث عن تجار الدين الذين يبيعون ويتاجرون باللاجئات السوريات يبيعك ابو هريرة ويبيعك ستنا عيشة وهي (دي عيشة ) بمعنى الحياة ماهي تربية بني قريضة . المقصود العيشه يلي بالشكل ده تربية اليهود ومعروف هالشيوخ وين تربو  وعالعموم هي واضحة للي عنده ضمير وبيفهم شوي .. ولو كانت صحيح تطاولت مثل اسلام البحيري وفاطمة الناعوت وغيرهم لكن بالعكس هي من قدمت بلاغ ضدهم وراحت بنفسها للقسم,N,,,,,,,,,,,,,,,,,N
تستاهل الضرب 😂😂😂 بردوا قلبي فيها,N,,,,,,,,,,,,,,,,,N
رقم 1 غلط وهذه فبركة القصيدة عن التجارة باللاجئات السوريات ياريت عشان المصداقية بس  وياريت كنتو حطيتو التوضيح يلي قالته في كل البرامج الثانية يلي حطيتو اجزاء منها عيب نلحق فبركات ونأكدها,N,,,,,,,,,,,,,,,,,N
الحمدلله الذي عافانا,N,,,,,,,,,,,,,,,,,N
مع انها كانت مؤيدة لصدام وطلبت له جدا وقصدت القصايد له والان تعترف ان صدام اخطأ تاريخيا بغزوه للكويت,N,,,,,,,,,,,,,,,,,N
باع لثول جهال لعراق عدهم تليفونات حاطه عينج عالتليفونات و احنه اذا نطلع من لبيت منعرف نرجع ع رجلينه لو شايلينه بتابوت لو اصلا ميلكونه انسانه فارغه شكو ظالم واكفه ويا,P,,,,,,,,,,,,,,,,,P
صح كلامك يارغده انا معاكي في كل شي قلتيه,N,,,,,,,,,,,,,,,,,N
"رغدة انسانة وطنية شريفة لم تبع وطنها وقوميتها من اجل حفنة من النقود مثل غيرها
تعجبني وطنيتها ونخوتها
سوريا راح تظل حرة مستقلة رغم انف اعراب الخليج وذيولهم من المرتزقة وبائعي الضمير",P,,,,,,,,,,,,,,,,,P
"كفاكم تبلي على المرأة هي لم تسبها
قالت ستنا عايشة وبعدها قالت وهي دي عيشة
يعني هل هذه عيشة؟ هل هذه حياة؟
طبعا هذا كان في عهد الاخوان وهم كانوا مترصدين لها قبل هالموقف۔

اللي بيقولوا انها شتمت السيدة عائشة فهم الموضوع كله متلخبط عليهم۔ في آخر لقاء لها وضحت الموضوع بعد",N,,,,,,,,,,,,,,,,,N
عجوز شنطاء,P,,,,,,,,,,,,,,,,,P
عائشه ام المؤمنين رضي الله عنه,N,,,,,,,,,,,,,,,,,N
نايم  مع  بشار,N,,,,,,,,,,,,,,,,,N
هذي تستاهل الموت,P,,,,,,,,,,,,,,,,,P
و الثيران,N,,,,,,,,,,,,,,,,,N
"انا مع أي حاكم ضد الإرهاب  مهمه الحكومه حفظ الأمن و هذي الثوارات
ما نفعت الثوارات",N,,,,,,,,,,,,,,,,,N
عاش ثمك يا ستي انت الوحيدة بتقولي الحق والله انا اييدك واكثرهم للحق كارهون,N,,,,,,,,,,,,,,,,,N
اطفال العراق اهل الموبايلات و التعليم....  عم يتقتلوا و يموتوا.....  و يعانوا... ترفزني هي المراة,N,,,,,,,,,,,,,,,,,N
تجبي لج أطفال العراق كل شي عدهم بس ماعدهم سعاده كبر شكرهج,N,,,,,,,,,,,,,,,,,N
هي هبلا الست دي ولا ايه والله حاسس انها اتجننت,P,,,,,,,,,,,,,,,,,P
#رغدة,N,,,,,,,,,,,,,,,,,N
ربنا يهدك ويهدو يا شيخه,N,,,,,,,,,,,,,,,,,N
"بعد بيتي يا الكدعان ، اوف اوف لو مكسرينها ، ما قصرتو اسباع 
العراقي",N,,,,,,,,,,,,,,,,,N
أطفال العراق يا تعليم تتكلم عنة يا مدارس يا حدائق هذي فيها شي,N,,,,,,,,,,,,,,,,,N
الفنانه رغده عايشه بوهم المؤامره بتعتقد انو كل اشي بصير بدول العربيه من خراب ودمار ودم وقتل وتخلف ومنازعات بسب امريكا والدول الغربيه عشان هيك بتوقف بصف الحاكم ظالم كان او مظلوم,N,,,,,,,,,,,,,,,,,N
شح فيها تستاهل الموت,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
"حسبي الله ونعم الوكيل 
الله يشرف سيدة نساء العالمين",N,,,,,,,,,,,,,,,,,N
والله انك كفوو اللي ضربه عشان سبت عائشه رضي الله عنها💖💪💪كفووو,N,,,,,,,,,,,,,,,,,N
قويه بس غبيه كيف تشتم السيدة عائشه :بس لي هجمو عليها هيك 😀😀,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
ليش ما تتكلم مصري ؟؟,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
اعجبتني فيها شخصيته القويه,N,,,,,,,,,,,,,,,,,N
حسبي الله عليها ليش الغلط على اشرف واطهر الخلق .,N,,,,,,,,,,,,,,,,,N
يعني كل الفيديو سياسة بسياسة يعني طبيعي نلاقي التناحر بالاراء ايمت رح نقبل اختلافنا  😳,N,,,,,,,,,,,,,,,,,N
"يعني ايش تتوقع من وحده تسب ام المؤمنين عائشة
انا عن نفسي الي اسمعه يسب اي ام من امهات المؤمنين قبل لا اذبحه اعرف ان عرض مهتوك و خالص 
*حقيقة",N,,,,,,,,,,,,,,,,,N
نشالله ربي يرزقهم جنه الفردوس الي دافعو على حبيبه سيدنا محمد عائشة رضي الله عنها,N,,,,,,,,,,,,,,,,,N
اول ماطلعت قمصت خافت ههههه الله زرع فيهم الخوف والذله,N,,,,,,,,,,,,,,,,,N
خله قمة الخوف,P,,,,,,,,,,,,,,,,,P
لا تكتب شتم عائشه بل شتمت أمنا عائشه أو السيده عائشه حبيبتي يا أمي عائشه رضي الله عنك وأرضاك ياحبيبة رسول الله صلى الله عليه وسلم,N,,,,,,,,,,,,,,,,,N
تسلم ايديكم علي ضربها وكل من يتطول ع امهات المؤمنيين,N,,,,,,,,,,,,,,,,,N
عزيزي صاحب قناة تب تن كيف تكتب اسم السيده عائشه فقط عائشه أرجو الأحتراس ف المرات القادمه وشكرا,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
والله انه ليوجعنا حالكم ايها السورين ...اللهم انصر اهل سوريا ..الهم احفظهم بعينك التي لا تنام ..اللهم انصرهم بعزتك وجلالك وجبروتك وقوتك ياحي ياقيوم ..يا من حرمت الظلم علي نفسك فكيف بعبدك...لا حول ولا قوة الابالله ...سودانيه,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
هو انتو كل شي عندكن بلقتل والذبح واللعن برافو انتو عبتأكدو للعالم شو هوي الدين الاسلامي تعلمو المسامحة والحرية الشخصية حاجتنا جهل,N,,,,,,,,,,,,,,,,,N
الكويت دولة مستقلة و العراق كذلك و احنا اخوان مهما صار و الايام ستبين لكم ذالك 🇰🇼🇮🇶❤️,N,,,,,,,,,,,,,,,,,N
انسانه مختلفه وياريت موت ها علي غلتطها في السيدة عائشه,P,,,,,,,,,,,,,,,,,P
دنتي كنتي ممثله يختي و جبتي طاري عيشه عاقبك الله في نفوخك و هي ده عيشه يا بيضه؟تسلم الايادي اللي خبطت بوجهك,P,,,,,,,,,,,,,,,,,P
"رجال مصروالله رجاااااال ونعم فيهم 
رفعو راسنا وخوف الشيعه منا👍.",N,,,,,,,,,,,,,,,,,N
لم تسب السيدة عائشة بل كانت تقصد العيشة أو المعيشة التي يحسد عليها الناس و هي أصلا سنية و ليست من بعض الشيعة الدين يسبون السيدة عائشة تحية لكي  لأنك تحبين بلدك سوريا أحسدها على مواقفها و شجاعتها و صلابتها امرأة بكل رجال العرب,N,,,,,,,,,,,,,,,,,N
ماراح اقول غير ان ماقصروا المصريين فيها كفوو والله,N,,,,,,,,,,,,,,,,,N
حسبي الله ونعم الوكيل في كل من دافع وتشدد لسب امنا وام المؤمنين عايشة رضوان الله عليها وعلى ابيها صديق الصادق الامين عليه الصلاة والسلام سيد المرسلين,N,,,,,,,,,,,,,,,,,N
ههههههههههههههعع تستاهل الضرب,N,,,,,,,,,,,,,,,,,N
"سبحان الله !
5:52 يشبه مارتن بشير .",N,,,,,,,,,,,,,,,,,N
احسن شي حكيتي لحد لحين حسبي الله ع كل ظالم ولا انا ولا انتي ندري مين لظالم الله وحده يعلم و تحياتي الك من جديد,N,,,,,,,,,,,,,,,,,N
حسبي الله ونعم الوكيل  إلا السيدة عائشة رضي الله عنها,N,,,,,,,,,,,,,,,,,N
كلامها منطقي وعاقل  وتبت الوقت انها على الحق,N,,,,,,,,,,,,,,,,,N
"حي الله #الجيش_العربي_السوري
حي الله #الجيش_العراقي_العظيم
حي الله #الحشد_الشعبي
حي الله #الجيش_اليمني
حي الله #الجيش_اللبناني
حي الله #الجيش_الجزائري_العظيم
حي الله #الجيش_العماني
ارفعوا بسطالكم ياايها الجيوش العربيه الحره الابيه وضعوها فوق رؤؤس جيش السعوديه والاردن وبقيه الجيوش اللا عربيه فاقدة الغيره والشرف 
#لعن_الله_ال_سعود 
#لعن_الله_ال_خليفه
#لعن_الله_الكيان_الصهيوني",P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,P,,,,,,,,,,,,,,,,,P
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
اللهم لا تآخذنا بما فعل السفهاء منا,N,,,,,,,,,,,,,,,,,N
والله يا مصر انكم رجال انتو رجاااااااااال,N,,,,,,,,,,,,,,,,,N
افضل قناة قناتكم والفيديوهات حلوة,N,,,,,,,,,,,,,,,,,N
انسانه مثقفه والله كل اللي حكيتوا صح,N,,,,,,,,,,,,,,,,,N
المرأة الحديدية الله يحميها,N,,,,,,,,,,,,,,,,,N
حسبي الله وكفى,N,,,,,,,,,,,,,,,,,N
و الله مثقفة و أكثر حد عارف حقيقة العرب ليست برجوازية و لا مرتشية كغالبية الفنانات الخائنات للوطن,N,,,,,,,,,,,,,,,,,N
الكويت فعلا تابعة للعراق لولا ان الاحتلال البريطاني اقتسمها منها,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
كلامها منطقي ويحترم 100/100,N,,,,,,,,,,,,,,,,,N
ههههههههههه تقولك فلسونا كل مرة تطلع مكشخة بهدوم واكسسوارات ومكياج ماركة عالمية لا وبعد شعر وحركات ههههههه ياعم فكينا زين منافقة من درجة الاولى,N,,,,,,,,,,,,,,,,,N
الى مزبلة التاريخ إن شاء الله وموعدك يوم الجنائز,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
الله يحشرك مع بشار,P,,,,,,,,,,,,,,,,,P
الله يرزقكم جنة الفردوس يلي ظربتوها ودافعتو عن شرف وحبيبة رسولنا الكريم  الله يكثر من امثالكم,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
السلام عليكم اخوتي ممكن توصلوني ل 1000 مشارك جزاكم الله خيرا,N,,,,,,,,,,,,,,,,,N
غريبه من ممثله ل سياسيه,N,,,,,,,,,,,,,,,,,N
انت رمز عربي و قدوة للناس الفهمانين. عندها كرامة لك بشار الاسد كان عامل سوريا جنة كان بحارب اسرائيل امّا انتو يا خونى شو عملتو؟ دمرتوها؟,N,,,,,,,,,,,,,,,,,N
الله ياخد فيها الحق,N,,,,,,,,,,,,,,,,,N
"ههههه لم تقم طائرة واحدة بالقصف 
الله يقصف رقبتك",P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
وجع شكد مكروهه 😪,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
ديس لايك,N,,,,,,,,,,,,,,,,,N
استغفر الله العظيم واتوب اليه بس من الناس الي يخلو الواحد يجن,N,,,,,,,,,,,,,,,,,N
ما فهمت شي من الشعر وصعب اتهمها على صياح شوي ناس ما يمكن يكونو فاهمين غلط .. احب اتبع الاية .. ان جاءكم فاسق بنبأ فتبينو أن تصيبو قوما بجهالة ...,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
تسلم الايادي,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
اعملو لغادة عبد الرازق,N,,,,,,,,,,,,,,,,,N
كنت معاك في كلام حتي شتمتي ام مؤمنين امنا عائشة خط احمر,N,,,,,,,,,,,,,,,,,N
تعجبني,N,,,,,,,,,,,,,,,,,N
و حلووووة,N,,,,,,,,,,,,,,,,,N
صريييييحة,N,,,,,,,,,,,,,,,,,N
كفو يلي كان يبي يضربا لانها سبت عائشة رضي الله عنها,N,,,,,,,,,,,,,,,,,N
انسانه مريضه الله يشافيج,P,,,,,,,,,,,,,,,,,P
حسبي الله عليج تحجين ع اطفال العراق لج هم شحصلو غير بس الحروب والقتل,N,,,,,,,,,,,,,,,,,N
هيه ليه دخله كل الخناقات دي!,N,,,,,,,,,,,,,,,,,N
لان ماكو النفط ماكو صدام,N,,,,,,,,,,,,,,,,,N
اتفق وياها بكل كلمه .. مع كل حاكم عربي حتى وان كان شخص مجرم ضد اي تدخل اجنبي او تكفيري او طائفي,N,,,,,,,,,,,,,,,,,N
"ااخ بس 


لو قتلوها احسن. 


تحيه للي ضربها 
وبين قوسين اهل مصر العربيه. 
اقسم بالله انكم رجال.",N,,,,,,,,,,,,,,,,,N
"عندها انفصام بمعنى الكلمه

الله يهديها",N,,,,,,,,,,,,,,,,,N
بالله مافهمت شي من الي جالسه تقولو،  لما قالت ستنا عيشه مدري ايشش؟ !  الي فهمو يقولولي ايش معني كلامها بليز,N,,,,,,,,,,,,,,,,,N
خخخخ ياريتهم ذبحوها,N,,,,,,,,,,,,,,,,,N
"بتقول لو بشار الأسد تنحى عن الرئاسة في سوريا ثاني يوم بصير دم بسوريا 

هوا لسى باقي بالسلطة وأصبحت سوريا  غارقة بالدماء والمجازر فكيف لو تنحى يارب الستر",N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
موتك ع ايد الأحرار ان شاء الله,N,,,,,,,,,,,,,,,,,N
احلى واجمل ممثله شفتهافي حياتي وثاني شي هي مثقفه,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
لوكانت عنجد سابة السيدة عائشة وضي الله عنهاالله ينتقم منها ..وجد شي مخزي وبضحك قال حلب مافيها ولا صاروخ ولا دمار ولا شي كزابة بنص عينك حلب تدمرت التعن امها ع ابوها حلب .قاعدة برا وعم تطول وتقصر تعي عيشي هون وبعدين علكي ..العالم عم تموت مالا ذنب حسبي الله ونعم الوكيل على كل كزاب وظالم,P,,,,,,,,,,,,,,,,,P
معه الأسف من يتم اطفال العراق ومن أرمل نسائه ومن قتل رجالاته وشيوخه معه الأسف إخوانه العرب صدقو إرهاب العراق من قطر وسعوديه في المرتبة الاوله وتركية,N,,,,,,,,,,,,,,,,,N
الدس لايك مش الك لرغده 😂😂😂😂😂,N,,,,,,,,,,,,,,,,,N
لاتحزني ياامنا عائشة ياحبيبه رسول الله .....حسبنا الله ونعم الوكيل في كل من يسب زوج خير العجم والاعراب,N,,,,,,,,,,,,,,,,,N
حابي احكي للكل منشان الله فهمو لكلام هي ماقصدت تسب عايشه هي قصدها عيشه يعني معيشتنا في لحياة بترجاكون تنتبهو لفيديو منيح بس صاحب لفيديو عم يعمل فتنه هيك و هاد لشي حرام تحياتي للكل,N,,,,,,,,,,,,,,,,,N
كلامك جميل جدا و صحيح,N,,,,,,,,,,,,,,,,,N
وبهنئ صاحب القناه ع الفديوهات الجميله والله من احلى القنوات في اليوتيوب وتاخذ فديوهات قويه اتمنى تستمر وتطور قناتك وتعمل جزء تاني عن احلام في فديوهات اكثر عنها,N,,,,,,,,,,,,,,,,,N
و هل سيدة هي او سيدة تنزل لسوريا ع لحرب و بين لشعب نزلت مسيرات و حكيها حق و انسانة تحب لخير و محترمه و اتشرف انها بنت بلدي و هي شرف لسوريا تحياتي لجميع,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
من كلامه مع بشار 😕تستهبل,N,,,,,,,,,,,,,,,,,N
حابي احكي شي لصاحب لقنأء عيب تزور لكلام هل سيدة قالت عيشه بمعنا معيشه لا تكتب ع موضوع سب لسيدة عايشه مايصير لفتنه اشد من لقتل وانت هيك تعمل فتنه عشان لناس تكرها و تشتمها,N,,,,,,,,,,,,,,,,,N
نهايتها  سوده ان شاء الله,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
بغض النظر عن كلشي بس ان كانت سبت عائشه او لا..هل من الدين والاخلاق والشرف انك تضربها ؟ يعني بالعقل لو كانت عائشه عايشه تفتكر انها ع تصفقلك لانك تضربها ؟ لو عنجد الهمج الي ضربوها يعرفو الدين كان يعرفو انو مافي شي ينحل برفع اليد او السلاح او الشتم كان عرفو انو الاسلام سلااام ! بدل مايصلحو الوضع ازمو اكتر ومع الاسف في هيك اشكال تافهه ينقلو هالصوره السيئه عن الاسلام  وطبعا هم نفسهم لو حدا كفر بالله قدامهم مايعملو شي عادي الكفر بربك صح ؟؟ وبالنسبه لاحلام رح تجنني يعني رغده قالت انها ضد القطر انتي شودخلك ليش تحشري حالك بكلشي وتغلطي وتتمشكلي ياخي هدا الكائن الي اسمو احلام لو من عيلتي او قريبتي انا بنتحررر عنجد مريضه نفسيا الله يساعد جوزها,P,,,,,,,,,,,,,,,,,P
هاي المرؤة عار على الوطن العربي بتدعم بناس بأتل بدم بارد,P,,,,,,,,,,,,,,,,,P
انسانه صريحه وقويه وتستاهل التقدير وطنيه تحب بلدهة احسن من غيرهة,N,,,,,,,,,,,,,,,,,N
كلامهه صحيح وهاي انسانه ما تخاف,N,,,,,,,,,,,,,,,,,N
منوره رغوده,N,,,,,,,,,,,,,,,,,N
احسنت,N,,,,,,,,,,,,,,,,,N
القناة جدا مميزة و رائعة مزيد من التقدم نبي نشوف نوال الزغبي و نجوى كرم و ديانا حداد و سمية الخشاب و غادة عبد الرازق,N,,,,,,,,,,,,,,,,,N
ع فكرا اطفال العراق مضالين عليج😑,N,,,,,,,,,,,,,,,,,N
احسن شي حجيتي ع عائششه😐😂😂😂😂,N,,,,,,,,,,,,,,,,,N
وهاذي تتفلسف بصفتها واش!!!!!,N,,,,,,,,,,,,,,,,,N
تحياتي الى الشعب المصري والعلقة السااااااااااااااخنة للفنانه رغده وتسلم الاياااادي,N,,,,,,,,,,,,,,,,,N
كله كوم واطفال العراق كوم ثاني اذا انتي ما جيتي العراق شلون عرفتي بالمدارس وين راحت الزباله  والانقاظ ومدارس الطين بجزر القمر مثلا يا عبقريه ؟,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
ياخي تجيب مغنيات مااعرفهم🖕🏿 ، المهم شكراً على الجهد❤️❤️❤️❤️,N,,,,,,,,,,,,,,,,,N
لك يا مدارس نموذجيه احنه التعليم عدنه اتدهور كثير وصارت احوالنه زفت,N,,,,,,,,,,,,,,,,,N
"ليه كدا يا صاحب القناة؟ معروف انها ما شتمت السيدة عائشة. ليه تتبلى عليها!!!؟؟؟
والبطلجية ضربوها لآراءها السياسة وحتى في الفيديو دة إتقال كدا
لو انت بتكره رغدة عشان موقفها السياسي غير عن موقفك دة مش مبرر تتبلى عليها بكلام ما قالته في سبيل اظهارها بمظهر السيئة.",N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
